Couple,File_1,File_2,Kappa
Hao-Jinane,Hao/mistral/sheet_10_annotations_Hao_mistral.csv,Jinane/mistral/sheet_10_annotations_HARCHAL.csv,0.207
Mario-Hao,Mario/mistral/sheet_10_annotations_JAKIMOSKI.csv,Hao/mistral/sheet_10_annotations_Hao_mistral.csv,0.063
Mario-Axel,Axel/mistral/sheet_13_annotations_FELTEN.csv,Mario/mistral/sheet_13_annotations_JAKIMOSKI.csv,-0.036
Hao-Axel,Axel/mistral/sheet_13_annotations_FELTEN.csv,Hao/mistral/sheet_13_annotations_Hao_mistral.csv,0.185
Jinane-Axel,Axel/mistral/sheet_13_annotations_FELTEN.csv,Jinane/mistral/sheet_13_annotations_HARCHAL.csv,-0.185
Mario-Jinane,Mario/mistral/sheet_13_annotations_JAKIMOSKI.csv,Jinane/mistral/sheet_13_annotations_HARCHAL.csv,-0.045
Hao-Jinane,Hao/mistral/sheet_13_annotations_Hao_mistral.csv,Jinane/mistral/sheet_13_annotations_HARCHAL.csv,-0.105
Mario-Hao,Mario/mistral/sheet_13_annotations_JAKIMOSKI.csv,Hao/mistral/sheet_13_annotations_Hao_mistral.csv,0.025
Mario-Axel,Axel/mistral/sheet_19_annotations_FELTEN.csv,Mario/mistral/sheet_19_annotations_JAKIMOSKI.csv,0.000
Hao-Axel,Axel/mistral/sheet_19_annotations_FELTEN.csv,Hao/mistral/sheet_19_annotations_Hao_mistral.csv,0.000
Jinane-Axel,Axel/mistral/sheet_19_annotations_FELTEN.csv,Jinane/mistral/sheet_19_annotations_HARCHAL.csv,0.000
Mario-Jinane,Mario/mistral/sheet_19_annotations_JAKIMOSKI.csv,Jinane/mistral/sheet_19_annotations_HARCHAL.csv,-0.003
Hao-Jinane,Hao/mistral/sheet_19_annotations_Hao_mistral.csv,Jinane/mistral/sheet_19_annotations_HARCHAL.csv,0.016
Mario-Hao,Mario/mistral/sheet_19_annotations_JAKIMOSKI.csv,Hao/mistral/sheet_19_annotations_Hao_mistral.csv,-0.018
