Couple,File_1,File_2,Kappa
Hao-Jinane,Hao/gemma/sheet_7_annotations_Hao_Gemma.csv,Jinane/gemma/sheet_7_annotations_HARCHAL.csv,0.140
Mario-Hao,Mario/gemma/sheet_7_annotations_JAKIMOSKI.csv,Hao/gemma/sheet_7_annotations_Hao_Gemma.csv,0.187
Mario-Axel,Axel/llama/sheet_10_annotations_FELTEN.csv,Mario/llama/sheet_10_annotations_JAKIMOSKI.csv,0.082
Hao-Axel,Axel/llama/sheet_10_annotations_FELTEN.csv,Hao/llama/sheet_10_annotations_Hao_llama.csv,0.288
Jinane-Axel,Axel/llama/sheet_10_annotations_FELTEN.csv,Jinane/llama/sheet_10_annotations_HARCHAL.csv,0.153
Mario-Jinane,Mario/llama/sheet_10_annotations_JAKIMOSKI.csv,Jinane/llama/sheet_10_annotations_HARCHAL.csv,0.115
Hao-Jinane,Hao/llama/sheet_10_annotations_Hao_llama.csv,Jinane/llama/sheet_10_annotations_HARCHAL.csv,0.174
Mario-Hao,Mario/llama/sheet_10_annotations_JAKIMOSKI.csv,Hao/llama/sheet_10_annotations_Hao_llama.csv,0.179
Mario-Axel,Axel/llama/sheet_13_annotations_FELTEN.csv,Mario/llama/sheet_13_annotations_JAKIMOSKI.csv,0.214
Hao-Axel,Axel/llama/sheet_13_annotations_FELTEN.csv,Hao/llama/sheet_13_annotations_Hao_llama.csv,0.239
Jinane-Axel,Axel/llama/sheet_13_annotations_FELTEN.csv,Jinane/llama/sheet_13_annotations_HARCHAL.csv,0.170
Mario-Jinane,Mario/llama/sheet_13_annotations_JAKIMOSKI.csv,Jinane/llama/sheet_13_annotations_HARCHAL.csv,0.156
Hao-Jinane,Hao/llama/sheet_13_annotations_Hao_llama.csv,Jinane/llama/sheet_13_annotations_HARCHAL.csv,0.069
Mario-Hao,Mario/llama/sheet_13_annotations_JAKIMOSKI.csv,Hao/llama/sheet_13_annotations_Hao_llama.csv,0.163
Mario-Axel,Axel/llama/sheet_19_annotations_FELTEN.csv,Mario/llama/sheet_19_annotations_JAKIMOSKI.csv,0.213
Hao-Axel,Axel/llama/sheet_19_annotations_FELTEN.csv,Hao/llama/sheet_19_annotations_Hao_llama.csv,0.220
Jinane-Axel,Axel/llama/sheet_19_annotations_FELTEN.csv,Jinane/llama/sheet_19_annotations_HARCHAL.csv,0.322
Mario-Jinane,Mario/llama/sheet_19_annotations_JAKIMOSKI.csv,Jinane/llama/sheet_19_annotations_HARCHAL.csv,0.041
Hao-Jinane,Hao/llama/sheet_19_annotations_Hao_llama.csv,Jinane/llama/sheet_19_annotations_HARCHAL.csv,0.161
Mario-Hao,Mario/llama/sheet_19_annotations_JAKIMOSKI.csv,Hao/llama/sheet_19_annotations_Hao_llama.csv,0.270
Mario-Axel,Axel/llama/sheet_30_annotations_FELTEN.csv,Mario/llama/sheet_30_annotations_JAKIMOSKI.csv,0.364
Hao-Axel,Axel/llama/sheet_30_annotations_FELTEN.csv,Hao/llama/sheet_30_annotations_Hao_llama.csv,0.306
Jinane-Axel,Axel/llama/sheet_30_annotations_FELTEN.csv,Jinane/llama/sheet_30_annotations_HARCHAL.csv,0.411
Mario-Jinane,Mario/llama/sheet_30_annotations_JAKIMOSKI.csv,Jinane/llama/sheet_30_annotations_HARCHAL.csv,0.358
Hao-Jinane,Hao/llama/sheet_30_annotations_Hao_llama.csv,Jinane/llama/sheet_30_annotations_HARCHAL.csv,0.320
Mario-Hao,Mario/llama/sheet_30_annotations_JAKIMOSKI.csv,Hao/llama/sheet_30_annotations_Hao_llama.csv,0.368
Mario-Axel,Axel/llama/sheet_38_annotations_FELTEN.csv,Mario/llama/sheet_38_annotations_JAKIMOSKI.csv,0.241
Hao-Axel,Axel/llama/sheet_38_annotations_FELTEN.csv,Hao/llama/sheet_38_annotations_Hao_llama.csv,0.231
Jinane-Axel,Axel/llama/sheet_38_annotations_FELTEN.csv,Jinane/llama/sheet_38_annotations_HARCHAL.csv,0.217
Mario-Jinane,Mario/llama/sheet_38_annotations_JAKIMOSKI.csv,Jinane/llama/sheet_38_annotations_HARCHAL.csv,0.211
Hao-Jinane,Hao/llama/sheet_38_annotations_Hao_llama.csv,Jinane/llama/sheet_38_annotations_HARCHAL.csv,0.089
